Name,Price
NESTLE PURE LIFE WATER 150CL,₦110
NESTLE PURE LIFE WATER 60CL,₦65
EVA WATER 50CL,₦65
AQUAFINA 50 CL,₦65
MG SPIRIT  VODKA PINEAPPLE 27.5CL,₦500
TITUS SARDINE 125G,₦420
PEAK MILK POWDERED MILK 16G,₦60
SOYFRESH SOY MILK CHOCOLATE 250ML,₦370
TEEM SODA PET 50CL,₦90
VITAMILK SOYAMILK IN GLASS BOTTLE 300ML,₦520
SNICKERS  CHOCOLATE 50G,₦490
FOX’S CHOCOLATE PREMIUM BISCUIT COLLECTION 365G,"₦5,000"
HOLLANDIA YOGHURT STRAWBERRY 1LTR,₦940
AYOOLA POUNDO YAM 0.9KG,"₦1,200"
MCVITIE’S ABS 100 GM,₦550
RED BULL PACK 250ML,"₦3,100"
SWEET SENSATIONAL CARAMEL POPCORN 70G,₦130
TEEM BITTER LEMON PET 50CL,₦100
GREEN AND GRILL GREEK YOGHURT VANILLA 300ML,"₦1,550"
HOLLANDIA YOGHURT STRAWBERRY 180ML,₦110
DANGOTE REFINED SUGAR 250G,₦200
HEINZ BAKED BEANS 200 GRAMS,₦720
FANTA ORANGE PET 60CL,₦100
SMOOV CHAPMAN 50CL,₦100
COKE ZERO CAN 33CL,₦145
COCA COLA ZERO 60CL PET,₦100
MONSTER ENERGY 440ML,₦410
CADBURY HOT CHOCOLATE 3IN1 SACHET 30G,₦80
PEAK GOLD EVAPORATED MILK [TIN] 160G,₦290
FARM FRESH BANANA YOGHURT 500ML,"₦1,050"
NESCAFE 3 IN 1 BREAKFAST 320G,₦990
HOLLANDIA UHT MILK LOW FAT 1TR,₦590
BLUEBOAT FRESH-YO MIXED BERRY 1LTR,₦380
SCHWEPPES VIRGIN MOJITO SOFT DRINK 33CL,₦150
5ALIVE TROPICAL FRUIT DRINK 90CL,₦340
SCHWEPPES TONIC CAN 33CL,₦150
VEKTRO CHAPMAN HEALTH DRINK 330ML,₦390
7UP FREE CAN 33CL,₦130
LACASERA APPLE 60CL,₦100
