Name,Price
Jameson Irish Whiskey - 70cl - 4...,"₦6,490"
Pasta Spaghetti - Carton,"₦4,970"
Del Diablo - Cabernet Sauvignon,"₦2,900"
Macaroni - 500g,"₦4,800"
Knorr Seasoning Cube - 50 X 8g,₦680
Johnnie Walker Black Label - 70c...,"₦9,000"
Royco Beef Seasoning Cubes Twin ...,₦840
Coca-Cola Coke Pet Bottle 35cl -...,"₦1,080"
Knorr Seasoning Cubes Twin Pack,"₦1,150"
Tasty Tom Tomato - 70g X 50,"₦6,500"
Big Bull 10kg,"₦6,050"
Pepsi 50cl Pack X 12,"₦1,105"
Pepsi Max 50cl Pack X 12,"₦2,500"
Vodka - 75cl (Single Bottle),"₦13,670"
Devon Vegetable Oil - 25L,"₦22,500"
Glenfiddich 12 Year Old Single B...,"₦11,520"
Johnnie Walker Red Label - 70cl ...,"₦4,410"
Campari Bitters - 100cl - Single...,"₦5,750"
Noodles 70g - 1 Carton,"₦2,090"
Nestle Bundle 1 + Free Golden Mo...,"₦5,400"
Hennessy VS - 35cl - 40% Acl. - ...,"₦7,660"
Knorr Beef Cubes 50x8g,₦600
Knorr Chicken Powder - 400g,₦600
Schweppes Soda Water - 24 Cans-3...,"₦3,060"
Moet & Chandon Brut Imperial - 7...,"₦24,030"
Macallan 15 Year Old (1 X70cl),"₦25,061"
Veuve Clicquot Clicquot Brut - 7...,"₦26,730"
Hennessy VS Cognac - 70cl - Sin...,"₦15,320"
Moet & Chandon Ice Imperial Cha...,"₦33,800"
Cheerful Foods Unripe Plantain F...,"₦1,850"
Fibroid Herbal Tea - 25 Teabags,"₦2,300"
Nespresso Ispirazione Firenze Ar...,"₦4,200"
Lipton Yellow Label Tea Twin Pac...,₦501
Lipton America'S Favorite Tea - ...,"₦3,200"
Lungs Detox Tea - 20 Sachets,"₦3,800"
Soya Custard Powder - 400g,₦600
Oluji Cocoa Powder - 250g,"₦1,500"
Fit Tea- Premium Organic Herbal ...,"₦2,400"
Martell Vs Single Distillery -70...,"₦12,675"
1 Big Bull 10kg + 1 Mamador 0.9L...,"₦8,400"
Hygienically Fried Dried Cow Ski...,"₦3,499"
Dangote Sugar - 1kg,₦700
Absolut Vodka 1L 40% Acl. - Sin...,"₦3,510"
Carlo Rossi Red - 75cl 11.50% A...,"₦2,880"
Jianxi Blood Pressure Normalizer...,"₦2,100"
Ginger Powder 120g,"₦1,300"
Devon King'S Vegetable Oil - 5L...,"₦5,000"
"Andre Rose - 75cl, 10% Acl","₦3,655"
Nestle Revive Bundle + Free Nest...,"₦8,000"
Starbucks Single-Origin Colombia...,"₦3,900"
Crunchy Kuli Kuli 200g,"₦1,250"
Sweet Additions Calories Free St...,"₦4,190"
Health Aid 28 Days Detox Tea,"₦4,620"
28 Days Detox Flat Tummy Tea - 1...,"₦2,999"
28 Days Detox Flat Tummy Tea & S...,"₦5,300"
Moet Nectar Imperial Luminous Ch...,"₦23,420"
Breakfast Bundle For Family,"₦15,000"
Arm & Hammer Pure Baking Soda -2...,"₦1,500"
Smirnoff Vodka Red - 1Ltr 40% A...,"₦3,865"
Tomato Paste - 830g,"₦1,885"
Smoked Catfish Steaks - 1 Carton...,"₦37,000"
Womb Care Cleansing Tea,"₦2,600"
Great Diamond Ultra Fibroid Remo...,"₦1,900"
Ginseng Instant Tea 2 Packets(12...,"₦1,900"
All Natural Eye Bright Herbal Te...,"₦1,699"
Dangote Sugar - 1kg - 2 Pieces,"₦1,500"
Now Food Erythritol - 454g,"₦8,350"
Robertson Sweet 750ml Red,"₦1,930"
Mamador Buy And Win - 500ml X 3c...,"₦1,800"
Smirnoff X1 Intense Chocolate Vo...,"₦1,513"
Kirkland Signature Organic Extra...,"₦11,999"
Marvel Dried Skimmed Milk - 175g...,"₦1,800"
Claymore Whisky,"₦2,600"
Madagascar Bourbon Pure Vanilla ...,"₦12,400"
Vidalia Onion Vinegarette Salad ...,"₦7,500"
Crownfield Fruit & Fibre - 750g,"₦2,999"
PZ Devon King'S 1L Cooking Oil -...,"₦1,200"
Tumeric Powder 120g,"₦1,300"
Sonia Tomato Mix - 400g X 3,"₦1,350"
Vision Care Eye-Bright Herbal Te...,"₦2,999"
Uterine Fibroid Herbal Tea - 25 ...,"₦2,400"
Health Aid Anti-Hypertension Tea...,"₦4,500"
Baileys Original Irish Cream - 7...,"₦5,130"
Sunlight Cheeseball 6g X 60,₦800
Minimie Chinchin Snack Jar - 900...,"₦1,200"
Magic Tummy Slimming Tea,"₦2,950"
Lavazza Expert Gusto Forte Coffe...,"₦11,000"
Ayoola Poundo Yam 1.8kg,"₦2,600"
Garri Ijebu - 2kg - Super Crunch...,"₦1,600"
Super Herb Slimming Tea - 40 Tea...,"₦1,850"
Devon King'S Cooking Oil - 3L,"₦3,000"
