Name,Price
                                Water Leaves                            ,₦250
                                Onions - Basket                            ,₦999
                                Irish Potatoes - 14 Pieces                            ,₦250
                                Turmeric - 150g                            ,₦250
                                Garlic - 8 Bulbs                            ,₦300
                                Lime - Bottled                            ,₦350
                                Garlic Powder - Bottled                            ,₦650
                                Ginger Powder - Bottled                            ,₦590
                                Cinnamon Sticks                            ,₦500
                                Red Grapes - Pack                            ,₦999
                                Apple - Red                            ,₦249
                                Groundnut - Bottle                            ,₦599
                                Golden Morn Nutritious Family Cereal - 50g                            ,₦100
                                Three Crowns Evaporated Milk - 160g                            ,₦150
                                Hollandia Yoghurt Drink Plain Sweetened - 500ml                            ,₦300
                                Chi Exotic Pineapple & Coconut Nectar Fruit Drink - 500ml                            ,₦249
                                Chi Exotic Pineapple & Coconut Nectar Fruit Drink - 1lt                            ,₦400
                                Hollandia Yoghurt Strawberry Fruit Drink - 315ml                            ,₦200
                                Hollandia Yoghurt Strawberry Fruit Drink - 1lt                            ,₦550
                                Chivita Active Citrus Mixed Fruit Juice - 1lt                            ,₦449
                                Frutta Orange Juice - 1lt                            ,₦349
                                Chivita Real Pineapple 100% Fruit Juice - 1lt                            ,₦430
                                Chivita Red Grape 100% Fruit Juice - 1lt                            ,₦430
                                Seaman's Schnapps Classic - 750ml                            ,"₦1,050"
                                Beef (Cow Meat) - 1kg                            ,"₦1,600"
                                Beef (Cow Meat) - 0.5kg                            ,₦800
                                Beans (Brown) - 1 Mudu                            ,₦699
                                Beans (Iron) - 1 Mudu                            ,₦599
                                Soya Beans - 1 Mudu                            ,₦290
                                Garri - 1 Mudu                            ,₦250
                                Wheat - 1 Mudu                            ,₦450
                                Eggs - 30 Pieces (Crate)                            ,"₦1,250"
                                Golden Penny Semovita - 10kg                            ,"₦3,350"
                                Golden Penny Semovita - 5kg                            ,"₦1,690"
                                Golden Penny Semovita - 2kg                            ,₦850
                                Blue Boat Fresh Yo Drinking Yoghurt - 115ml x32                            ,"₦1,950"
                                Pumpkin Leaves (Ugu) - Chopped Up                            ,₦150
                                Yam - 1 Big Piece                            ,₦999
                                Banana                            ,₦750
                                Sonia Tomato Paste - 210g                            ,₦160
                                Gino Pepper & Onion Tomato Seasoning Mix - 70g                            ,₦50
                                Sonia Tomato Paste - 70g                            ,₦50
                                Tasty Tom Tomato Mix - 70g                            ,₦70
                                De Rica Tomato Mix - 70g                            ,₦70
                                Gino Tomato Mix - 70g                            ,₦70
                                Apple - Green 1 Piece                            ,₦149
                                Watermelon                            ,₦750
                                Mirinda Pineapple Drink - 50cl                            ,₦99
                                McDowell's No.1 Reserve Whiskey - 180ml                            ,₦550
                                Magic Moments Flavoured Vodka Chocolate - 180ml                            ,₦550
                                Nutri C Instant Orange Flavoured Drink - 8.25g                            ,₦40
                                Lacasera Apple Drink - 50cl                            ,₦100
                                Fanta Orange Flavoured Drink - 35cl                            ,₦100
                                Chivita Happy Hour - 150ml                            ,₦50
                                Fanta Orange Flavoured Drink - 60cl                            ,₦150
                                Capri Sonne Pineaple Drink -200ml                            ,₦60
                                Dudu Sweetened Yoghurt - 500ml                            ,₦200
                                Hollandia Malt & Milk Drink - 150ml                            ,₦50
                                Icetea Cool & Refreshning - 150ml                            ,₦50
                                Peak Full Cream Instant Milk Powder Tin - 400g                             ,"₦1,350"
                                Red Pepper - 3 Pieces                            ,₦190
                                Hot Red Pepper (Rodo) - 200g                            ,₦350
                                Pure Bliss Premium Milk Cookies - 75g                            ,₦95
                                Titus Fish Smoked - 1 Piece                            ,₦450
                                Stock Fish Body                            ,₦450
                                Stock Fish Head                            ,₦750
