Name,Price
FRESH MINCED BEEF 1KG,"₦1,820.00"
A.LEGAL MACEDOINE MIXED VEGETABLES 400g,₦885.00
AACE BLACK PEPPER POWDER 70g,₦760.00
AACE FOODS SPICE GINGER POWDER 80g,₦760.00
AACE PEPPER SOUP SPICE,₦760.00
AACE SUYA SPICE 100g,₦760.00
AACE TUMERIC POWDER 80g,₦570.00
ABEBI BEANS FLOUR (Ewa) 500g,₦500.00
ABEBI PLANTAIN FLOUR 0.9kg,₦800.00
ABEBI PLANTAIN FLOUR 0.9kg (CARTON),"₦7,600.00"
ABEBI YAM FLOUR 1kg (CARTON),"₦7,100.00"
ABEBI YAM FLOUR 5kg,"₦3,800.00"
ABUJA YAM - Large (3 piece) large,"₦4,500.00"
ABUJA YAM - Medium,"₦1,200.00"
ABUJA YAM-(3-piece) medium sieze,"₦3,600.00"
AFANG SOUP BUNDLE,"₦3,800.00"
AFANG SOUP BUNDLE (Essentials),"₦3,300.00"
AFANG/OKAZI LEAVES - CHOPPED 100g,₦500.00
AGBALUMO/ UDARA (african star apple) 4 pieces,₦120.00
ALPEN ORIGINAL MUESLI 625g,"₦1,560.00"
ALPEN THE SWISS RECIPE NO ADDED SUGAR 1.3Kg,"₦4,500.00"
AMEL SUSAN PURE COCOA POWDER PLAIN 250g,"₦1,820.00"
APPLE - GREEN 1kg,"₦1,400.00"
APPLE - RED,₦170.00
APPLE - RED 1kg,"₦1,700.00"
AQUAFINA PREMIUM DRINKING WATER 150CL PACK OF 12,₦620.00
ASSORTED BEEF - BIG PLATE,"₦6,000.00"
ASSORTED BEEF - MEDIUM PLATE,"₦3,500.00"
ATAMA SOUP BUNDLE,"₦5,500.00"
AVOCADO,₦250.00
AYOOLA  CASSAVA FUFU (Akpu) FLOUR,₦700.00
AYOOLA PLANTAIN FLOUR 450g,₦360.00
AYOOLA PLANTAIN FLOUR 900g,₦710.00
AYOOLA POUNDO YAM FLOUR 1.8kg,"₦1,999.00"
AYOOLA POUNDO YAM FLOUR 4.5kg,"₦5,950.00"
AYOOLA POUNDO YAM FLOUR 900g,"₦1,450.00"
AYOOLA RICE FLOUR 1.8kg,"₦2,750.00"
"BAKER'S CHOICE OF OGI WHITE MAIZE POWDER(PAP,AKAMU KOKO)5oog",₦450.00
BAMA MAYONNAISE 473ml,₦855.00
BAMA MAYONNAISE 946ml,"₦1,395.00"
BANANA,₦880.00
BANGA FRESH PALM EXTRACT 400g,₦650.00
BANGA FRESH PALM EXTRACT 800g,"₦1,300.00"
BANGA SOUP BUNDLE (Essentials),"₦5,500.00"
BARTLETT PEAR,₦130.00
BASIL LEAVES,₦400.00
BEEF KIDNEY 1kg,"₦2,400.00"
BEEF LIVER 1kg,"₦2,400.00"
BEETROOT - REGULAR 22g,₦300.00
BEST-ONE PEELED PLUM TOMATOES 400g,₦695.00
BIG BEE PREMIUM HONEY 500ml,₦765.00
BIG BULL NIGERIAN PARBOILED RICE 10KG,"₦5,500.00"
BIG BULL NIGERIAN PARBOILED RICE 5KG,"₦3,000.00"
BIRDS CUSTARD POWDER 600g,₦990.00
BITTER LEAF - CHOPPED,₦100.00
BITTER LEAF - CHOPPED 300g,₦250.00
BITTER LEAF - UNCHOPPED,₦100.00
BITTER LEAF SOUP BUNDLE,"₦5,550.00"
Blossom Hill Crisp & Fruity Red Blossom Hill Wine,"₦2,200.00"
Blossom Hill Crisp & Fruity White Wine 75CL X 1,"₦1,800.00"
BLUE BAND ORIGINAL 250g,₦330.00
BLUE BAND ORIGINAL 450g,₦555.00
BLUE BAND SPREAD 250g,₦270.00
BLUE BAND SPREAD 450g,₦515.00
BLUE BAND SPREAD 900g,₦870.00
