Name,Price
Ofada Rice,701
Chicken Gizzard,"1,599"
Goat meat,"1,698"
Exeter Corned Beef 200g,555
Exeter Corned Beef 340g,855
Fresh Tomatoes,200
Vegetable Oil (Ororo),500
Palm Oil (Epo),450
Uziza Seed,150
Golden Penny Noodles,50
Ugu leaves (Pumpkin),100
Rice (Long Grain),450
Tatashe Pepper,300
Power Oil (Sachet),50
Frozen Chicken (Orobo),"2,200"
Garri (White),170
Frozen Turkey,900
Mangoes,50
Okro,100
Fresh Pepper (Atarodo),100
Onions,100
Pomo (Cow Skin),78
Efo (Green),200
Ewedu Leaves,100
Ripe Plantain,500
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Bitterleaf (Onugbu),100
Kings Vegetable Oil,895
Smoked Panla Fish,295
Titus Fish,667
Green Pepper,100
Dry Pepper (Grinded),50
Oranges,50
Carrot,100
Fresh Assorted meat(Inu Eran),"1,000"
Red Chilli Pepper (Shombo),200
Golden Penny Spaghetti,220
Locust Beans (Iru),62
Sweet Potato,550
Orijin Alcoholic Beer,250
Heineken Can,300
Derica Tomato Paste (Tin),250
Unripe Plantain,500
Watermelon,50
Egusi (Grinded),300
Smoked Titus Fish,555
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Fresh Catfish,800
Fresh Cow Meat (Beaf),"1,000"
Periwinkle,200
Shawa Fish,387
Gino Tomato Paste (Sachet),55
Pear,200
Avocado Pear,200
Lime Oranges,200
Frozen Chicken (Native),"2,200"
Rice (Small Grain),450
Beans (Oloyin),300
Spring Onions,300
Eggs,600
Pineapple,500
Irish Potato,550
Grinded Crayfish,200
Banana,300
Golden Penny Macaroni,250
Crab,150
Beans (Drum),250
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Efo (Soko),200
Green Apple,70
Guava,200
Red Apple,400
Ginger,100
Peppersoup Spice,100
Nestle Table Water,"1,400"
Slice Bread,350
Bonga Fish,96
Stock Fish (Okporoko Tail),"1,500"
Yellow Pepper,278
Dangote Sugar (500g),500
Wheat Flour,300
Scent Leaf (Efirin),100
Multiple Purpose Flour (For Baking),650
Green Peas (Can),400
Fufu,59
Knorr chicken cubes (50 x 8g),655
Smoked Catfish,500
Garden Eggs (Green),200
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Honeywell Spaghetti,220
Honeywell Semolina,302
Crayfish (Ungrinded),250
Green Peas,200
Frozen Chicken (½ Kilo),"1,250"
Peak Milk 850g (Powered),"2,170"
Live Chicken,"5,000"
Power Oil,641
Gino Tomato Paste (Tin),50
Frozen Crocker Fish,906
Shea Butter (Ori),200
Green Chilli Pepper (Green Shombo),200
White Beans,250
Smoked Mangala Fish,500
Kote Fish,755
Ukwa (African Breadfruit),300
Coconut,250
Shrimps (Dry),589
Ogiri,100
Uziza Leaf,100
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Ogbono (Apon),300
Sweet Corn,300
Cashew Nut,"1,096"
St Louis Sugar,750
Local Rice,350
Charcoal,100
Mamador Vegetable Oil,"1,303"
Heinz Ketchup (300g),800
Peanut Butter (Locally Made),500
Peanut Butter,700
Heinz Tomato Paste (Sachet),55
Kuli Kuli,100
Star Apple (Agbalumo),100
Lemon,500
Strawberry,"2,200"
Cabbage,300
Baking Powder,300
Maggi (Small Pack),120
Alum,150
Potash (Kaun),100
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Indomie Noodles Onion Flavor,100
Indomie Noodles Chicken Flavor,60
Honeywell Wheat,400
Thyme Seasoning,100
Barbeque Spice,100
Curry (Powdered),100
Garlic,100
Oha Leaves,200
Sachet Salt,50
Yam Flour (Elubo) Black,"1,950"
Fried Rice Spices,100
Corn (White),400
Lacasera,120
Eva Water (Big),200
Eva Water (75cl),120
Team (Plastic),120
Black Bullet Drink,450
Trophy Can Beer,250
Goldberg Can Beer,250
Mirinda (Plastic),120
Garri (White),170
Peppersoup Spice,100
