Name,Price
Eja Egun (Big) - 10p...,"₦2,200.00"
Ube (African Pear)-S...,"₦1,750.00"
Beans Oloyin (25kg),"₦18,500.00"
Rosemary Leave (Spic...,₦800.00
Pure Groundnut (Pean...,"₦6,000.00"
Basil Leaves (Spice ...,₦800.00
Ground Coriander (Sp...,₦800.00
Thyme (Spice Supreme...,₦800.00
Garlic (Spice Suprem...,₦800.00
Eja Egun (Medium) - ...,"₦1,700.00"
Eja Egun (Small) - 1...,"₦1,500.00"
Tatase Grade A (10kg...,"₦18,000.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Eja Egun (Medium) - ...,"₦1,700.00"
Garlic (Spice Suprem...,₦800.00
Thyme (Spice Supreme...,₦800.00
Ground Coriander (Sp...,₦800.00
Basil Leaves (Spice ...,₦800.00
Pure Groundnut (Pean...,"₦6,000.00"
Rosemary Leave (Spic...,₦800.00
Beans Oloyin (25kg),"₦18,500.00"
Ube (African Pear)-S...,"₦1,750.00"
Lemon Grass (with ro...,"₦1,450.00"
Red Apples- Big,"₦22,000.00"
Ube (African Pear)-B...,"₦7,750.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Fresh Corn (kg),₦600.00
Iron/White Beans -50...,"₦30,000.00"
Apple- Irish Peach (...,"₦24,850.00"
Apple- Irish Peach (...,"₦24,050.00"
Red Apples- Big,"₦22,000.00"
Ube (African Pear)-B...,"₦7,750.00"
Lemon Grass (with ro...,"₦1,450.00"
Lemon Grass (without...,"₦1,100.00"
Cucumber - (10kg),"₦4,000.00"
Plum -Dozen,"₦2,400.00"
English Pear- Dozen,"₦2,160.00"
Kiwi - Dozen,"₦6,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
