Rank,Title,Year,Domestic Gross (₦),Studio(s),Director(s)
1,Omo Ghetto: The Saga,2020,"636,129,120[1]",SceneOne Productions,Funke Akindele
2,The Wedding Party,2016,"453,000,000[2]",Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Kemi Adetiba
3,The Wedding Party 2,2017,"433,197,377[2]",Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Niyi Akinmolayan
4,Chief Daddy,2018,"387,540,749[3]",EbonyLife Films,Niyi Akinmolayan
5,Sugar Rush,2019,"287,053,270 [4]",GreOH Media / Jungle Filmworks / Empire Mates Entertainment,Kayode Kasum
6,King of Boys,2018,"244,775,758[5]",Kemi Adetiba Visuals,Kemi Adetiba
7,Merry Men: The Real Yoruba Demons,2018,"235,628,358[5]",Corporate World Entertainment / FilmOne / Gush Media,Toka Mcbaror[6]
8,Merry Men 2: Another Mission,2019,"234,505,169[7]",Corporate World Entertainment / Gush Media / FilmOne,Moses Inwang
9,Your Excellency,2019,"186,340,948 [8]",EbonyLife Films,Funke Akindele
10,A Trip to Jamaica,2016,"180,264,964[2]",Corporate World Pictures,Robert Peters
11,10 Days in Sun City,2017,"176,705,669[5]",Corporate World Entertainment,Adze Ugha
12,Living in Bondage: Breaking Free,2019,"168,770,202[4]",Play Entertainment Network/Michelangelo Productions/Natives Filmworks,Ramsey Nouah
13,30 Days in Atlanta,2014,"163,351,300[2]",Corporate World Pictures,Robert Peters
14,Prophetess,2021,"131,441,252[9]",Anthill Studios,Niyi Akinmolayan
15,Bling Lagosians,2019,"120,135,139[10]",Film One,Bolanle Austen-Peters
16,Fate of Alakada: The Party Planner,2020,"113,215,600[11]",FilmOne,Kayode Kasum
17,Up North,2018,"94,006,142[12]",Anakle Films / Inkblot Production,Tope Oshin Ogun
18,Isoken,2017,"93,697,726[5]",Tribe 85,Jadesola Osiberu
19,Quam's Money,2020,"92,100,070[13]","Inkblot Productions, House 21 and FilmOne",Kayode Kasum
20,Okafor's Law,2017,"89,740,576[5]",Dioni Visions,Omoni Oboli
21,Breaded Life,2021,"88,669,457[14]",Shutter Speed Projects,Biodun Stephens
22,Fifty,2015,"80,030,500[15]",EbonyLife Films,Biyi Bandele
23,The Ghost and the Tout,2018,"77,233,105[5]",Toyin Abraham Productions,Charles Uwagbai
24,Alakada Reloaded,2017,"74,331,349[5]",Toyin Abraham Productions,Toyin Abraham
25,'76,2016,"72,400,000[2]",Adonis Productions / Princewill's Trust,Izu Ojukwu
26,Rattlesnake: The Ahanna Story,2020,"70,815,150[16]",Play Entertainment Network/FilmOne Entertainment,Ramsey Nouah
27,My Wife and I,2017,"67,882,573[17]",Inklobot Productions,Bunmi Ajakaiye
28,Wives on Strike,2016,"66,753,162[18]",Dioni Visions,Omoni Oboli
29,Moms at War,2018,"65,000,000[2]",Dioni Visions,Omoni Oboli
30,Half of a Yellow Sun,2013,"60,000,000[19]",Shareman Media / Slate Films,Biyi Bandele
30,October 1,2014,"60,000,000[20]",Golden Effects,Kunle Afolayan
30,The CEO,2016,"60,000,000[21]",Golden Effects,Kunle Afolayan
30,Banana Island Ghost,2017,"60,000,000[22]",Biola Alabi Media / Nemsia Productions,BB Sasore
34,Ijé,2010,"59,800,000[23]",Xandria Productions,Chineze Anyaene
35,The Royal Hibiscus Hotel,2018,"59,000,000[24]",Ebonylife Films,Ishaya Bako
36,Last Flight to Abuja,2012,"57,050,000[25]",The Nollywood Factory,Obi Emelonye
37,It's Her Day,2016,"55,021,150[26]",Kountry Kulture Network,Aniedi Anwah
38,The Set Up,2019,"53,305,115[12]",Anakle Films / Inkblot Production,Niyi Akinmolayan
39,93 Days,2016,"50,505,000[27]",Native FilmWorks / Michel Angelo Production / Bolanle Austen-Peters Production,Steve Gukas
40,Nneka The Pretty Serpent,2020,"50,051,510[28]",Play Entertainment Network,Tosin Igho[29][30]
41,Omugwo,2017,"48,000,000[31]",Golden Effects / Africa Magic,Kunle Afolayan
42,Mokalik,2019,"46,929,446[12]",Golden Effects / Africa Magic,Kunle Afolayan
43,Hire A Man,2017,"45,000,000[31]",ChinneyLove Eze Productions,Desmond Elliot
44,Lagos Real Fake Life,2018,"44,194,075[32]",Swift Angel Production,Mike Ezuruonye
45,The Vendor,2018,"44,000,000[33]",Odunlade Adekola Film Production,Odunlade Adekola
46,Mamba's Diamond,2021,"41,383,605[14]",Williams Uchemba Productions,Seyi Babatope
47,American Driver,2017,"41,000,000[31]",Sneeze Films / Golden Icons Media / Get Known Productions,Moses Inwang
47,New Money,2018,"41,000,000[33]",Inkblot Productions,Tope Oshin Ogun
49,Dear Affy,2020,"39,688,140[4]",Film One Entertainment,Samuel Olatunji
50,Who's The Boss,2020,"38,559,547[4]",Inkblot Productions and Accelerate TV,Chinaza Onuzu
51,God Calling,2018,"36,822,319[34]",Hearts in Motion Studios,BB Sasore
52,Lockdown,2021,"35,651,351[14]",CEM Media Group,Moses Inwang
53,My Village People,2021,"35,531,000[14]",Kountry Koulture Productions,Niyi Akinmolayan
54,The Return of Jenifa,2012,"35,000,000[35]",Olasco Films,Muhydeen S. Ayinde
55,Seven and a Half Dates,2018,"33,000,000[33]",,Biodun Stephen
56,Ponzi,2021,"32,137,250[36]",Film Trybe,Kayode Kasum
57,Ghana Must Go,2016,"32,000,000[21]",DesAmour,Frank Rajah Arase
58,Still Falling,2021,"31,450,600[37]",Entertainment tru Christ,Dimbo Atiya
59,Love Is War,2019,"31,250,032[12]",Inkblot Production,Omoni Oboli
60,Lara and the Beat,2018,"31,000,000[33]",Biola Alabi Media,Tosin Coker
61,Gold Statue,2019,"30,986,552[12]",Film one distribution,Tade Ogidan
62,Phone Swap,2012,"30,713,500,[38][39]",Golden Effects,Kunle Afolayan
63,Elevator Baby,2019,"30,595,550[12]",Anthill Studios,Akay Mason
64,Muna,2019,"30,456,996[40]",KevStel Productions,Kevin Nwankwor
65,Road to Yesterday,2015,"30,000,700[41]",The Entertainment Network,Ishaya Bako
66,The Figurine,2009,"30,000,000[42]",Golden Effects,Kunle Afolayan
67,The Legend of Inikpi,2020,"29,955,335[4]",Wale Adenuga Productions,Frank Rajah Arase
68,Flower Girl,2013,"29,763,800[43]",Blu Star Entertainment,Michelle Bello
69,Day of Destiny,2021,"29,019,900[44]","Inkblot, Anakle and Anthill Productions",Akay Mason
