Movie,Year,RunTime,imdb,Genre,votes
A Quiet Place Part II,2020,97 minutes,7.8,"Drama, Horror, Sci-Fi",32800
Zack Snyder's Justice League,2021,242 minutes,8.1,"Action, Adventure, Fantasy",302660
The Mitchells vs the Machines,2021,113 minutes,7.8,"Animation, Adventure, Comedy",58771
Avengers: Endgame,2019,181 minutes,8.4,"Action, Adventure, Drama",888023
The Father,2020,97 minutes,8.3,Drama,70543
Harry Potter and the Sorcerer's Stone,2001,152 minutes,7.6,"Adventure, Family, Fantasy",679585
The Shawshank Redemption,1994,142 minutes,9.3,Drama,2407762
Once Upon a Time... in Hollywood,2019,161 minutes,7.6,"Comedy, Drama",590131
The Big Lebowski,1998,117 minutes,8.1,"Comedy, Crime, Sport",749063
Stand by Me,1986,89 minutes,8.1,"Adventure, Drama",371490
Joker,2019,122 minutes,8.4,"Crime, Drama, Thriller",1011532
Raiders of the Lost Ark,1981,115 minutes,8.4,"Action, Adventure",900718
The Godfather,1972,175 minutes,9.2,"Crime, Drama",1666227
Titanic,1997,194 minutes,7.8,"Drama, Romance",1073506
Gisaengchung,2019,132 minutes,8.6,"Comedy, Drama, Thriller",619334
Gone Girl,2014,149 minutes,8.1,"Drama, Mystery, Thriller",886895
The Gentlemen,2019,113 minutes,7.8,"Action, Comedy, Crime",267670
Thor: Ragnarok,2017,130 minutes,7.9,"Action, Adventure, Comedy",619163
Interstellar,2014,169 minutes,8.6,"Adventure, Drama, Sci-Fi",1569303
The Dark Knight,2008,152 minutes,9.0,"Action, Crime, Drama",2366987
Knives Out,2019,130 minutes,7.9,"Comedy, Crime, Drama",497819
Flipped,2010,90 minutes,7.7,"Comedy, Drama, Romance",83831
Pulp Fiction,1994,154 minutes,8.9,"Crime, Drama",1870078
Druk,2020,117 minutes,7.8,"Comedy, Drama",84011
Back to the Future,1985,116 minutes,8.5,"Adventure, Comedy, Sci-Fi",1087157
Jurassic Park,1993,127 minutes,8.1,"Action, Adventure, Sci-Fi",888899
The Wolf of Wall Street,2013,180 minutes,8.2,"Biography, Crime, Drama",1230982
Gladiator,2000,155 minutes,8.5,"Action, Adventure, Drama",1372454
Inception,2010,148 minutes,8.8,"Action, Adventure, Sci-Fi",2124358
Hamilton,2020,160 minutes,8.4,"Biography, Drama, History",66333
Avengers: Infinity War,2018,149 minutes,8.4,"Action, Adventure, Sci-Fi",886217
The Lord of the Rings: The Fellowship of the Ring,2001,178 minutes,8.8,"Action, Adventure, Drama",1699467
Soul,2020,100 minutes,8.1,"Animation, Adventure, Comedy",251465
Shutter Island,2010,138 minutes,8.2,"Mystery, Thriller",1166529
Forrest Gump,1994,142 minutes,8.8,"Drama, Romance",1860344
