Name,Price
Microphone BM 800 Condenser Microphone Audio Mic Studio Sound Recording Microphone - Black + Sound Card,"<div class=""prc"">₦ 10,850</div>"
Video Microphone Kit With Mini Microphone Tripod,"<div class=""prc"">₦ 6,200</div>"
BM800 Professional Suspension Microphone Kit Studio Live,"<div class=""prc"">₦ 17,450</div>"
Ahuja Wireless Tie Microphone And Clip,"<div class=""prc"">₦ 4,050</div>"
Ahuja Wireless Tie Microphone And Clip,"<div class=""prc"">₦ 4,100</div>"
Karaoke Microphone,"<div class=""prc"">₦ 4,770</div>"
"8'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 42,300</div>"
UHF Rechargeable Wireless Lapel/Tie-Clip Microphone System 3 In 1,"<div class=""prc"">₦ 22,000</div>"
1pc Portable Microphone Stand Round Base Desktop Bracket For,"<div class=""prc"">₦ 5,000</div>"
Sennheiser Professional UHF Wireless Microphone With 200 Meters Range - SKM9000,"<div class=""prc"">₦ 80,000</div>"
Recording Mic Uni-Directional Condenser Microphone Kit With,"<div class=""prc"">₦ 11,770</div>"
Professional Lavalier Clip-On Microphone 3.5mm Audio Plug,"<div class=""prc"">₦ 8,080</div>"
Shure UHF Rechargeable Wireless Lapel/Tie-Clip Microphone System With Head Mic,"<div class=""prc"">₦ 19,500</div>"
Remax Lavalier Microphone With Noise Reduction For Phone For Laptop Camera Etc,"<div class=""prc"">₦ 6,999</div>"
Sennheiser UHF Vocal Wireless Microphone System - XSW-75,"<div class=""prc"">₦ 29,500</div>"
"12'' INCHES Rechargeable Public Address System,Bluetooth 2 Mic","<div class=""prc"">₦ 50,000</div>"
2 RCA Male To 2 XLR 3 Pin Male Audio Cable- 1.5m,"<div class=""prc"">₦ 2,580</div>"
Proel BAL Cable 3P Female XLR + 3P MaleXLR M20,"<div class=""prc"">₦ 10,450</div>"
XLR Male To Female Microphone Cable - 10 Meters,"<div class=""prc"">₦ 5,800</div>"
XLR Microphone Cable - 10 Metres Mic Cable - Mixers,"<div class=""prc"">₦ 4,950</div>"
Wireless Microphone System,"<div class=""prc"">₦ 25,000</div>"
"8'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 37,500</div>"
Portable Condenser Microphone,"<div class=""prc"">₦ 14,000</div>"
Shure High Quality Professional Wireless Microphone,"<div class=""prc"">₦ 59,500</div>"
"15'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 80,500</div>"
Condenser Microphone,"<div class=""prc"">₦ 14,000</div>"
XLR Microphone Cable -  Balanced Mic Cable - Mixers 5 Meter,"<div class=""prc"">₦ 4,900</div>"
"8” Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 38,000</div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 15,500</div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 11,500</div>"
Condenser Microphone,"<div class=""prc"">₦ 14,500</div>"
Adjustable Foldable Microphone Stand Heaby Duty Metal Mic,"<div class=""prc"">₦ 8,410</div>"
Sennheiser UHF Vocal Wireless Microphone System - XSW-75,"<div class=""prc"">₦ 29,550</div>"
XLR Microphone Cable - 10 Metres Mic Cable - Mixers,"<div class=""prc"">₦ 5,800</div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 11,500</div>"
"15” Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 56,000</div>"
"Rechargeable Public Address System 12"" Inches","<div class=""prc"">₦ 41,000</div>"
12” Public Address System With Bluetooth & 2 Microphones,"<div class=""prc"">₦ 43,000</div>"
Shure High Quality Professional Wireless Microphone,"<div class=""prc"">₦ 80,000</div>"
Wireless Tie Microphone And Clip,"<div class=""prc"">₦ 4,700</div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
2.5mm Right Angle Male Plug To 3.5mm Female Jack Stereo AUX Audio DC Power Adapter Converter Cable- 14cm,"<div class=""prc"">₦ 990</div>"
Yamaha YM 288 VHF Dual Wireless Microphone,"<div class=""prc"">₦ 12,500</div>"
