Movie,Director,Cast,Genre,Info
Karishika,Ifeanyi Ikpoenyi,"Bob Manuel Udokwu
Becky Okorie
Sandra Achums
Obi Mmadubugo
Amaechi Muonagor
Sunny Mc-Don
Adaora Ukoh
Ifeanyi Ikpoenyi
Andy Chukwu
Steve Eboh",Horror,Regarded as one of the scariest Nollywood films of all time
Brotherhood of Darkness,"Andy Amenechi
Bond Emeruwa","Patrick Doyle
Zachee Orji
Okechukwu Ogunjiofor
Dolly Unachukwu",,Produced by Videosonic
Compromise,Chika Onukwafor,"Ifeanyi Azodo
Bob-Manuel Udokwu
Kate Henshaw
Teco Benson",,
Dead End 1,Chico Ejiro,"Zack Orji
Liz Benson
Sandra Achums
Ameze Imariahgbe",,Produced by Grand Touch/Amaco and Andy Best
Lies of Destiny,Madu Chikwendu,"Franca Brown
Paul Obazele
Joe Nwosu
Jennifer Okere",,Made in 2 parts
Hostages,Tade Ogidan,"Tope Idowu
Ofuafo Otomewo
Richard Mofe Damijo
Bimbo Manuel
Lanre Slogan
Tunji Sotimirin
Buky Ajayi",Action,
Sango,Obafemi Lasode,"Wale Adebayo
Bunmi Sanya
Wale Ogunyemi
Jimi Sholanke
Antar Laniyan",,"Based on the life story of Sango, the Yoruba god of thunder."
Blood Money,Chico Ejiro,"Zack Orji
Kanayo O. Kanayo
Francis Agu
Sam Dede",,
Died Wretched,Kenneth Nnebue,"Tony Umez
Eucharia Anunobi
Rachel Oniga
Tom Njemaze",,
Out of Bounds,Tade Ogidan,"Richard Mofe Damijo
Bimbo Akintola
Rachael Oniga
Steve Rhodes",,
Crossroad: The Beginning,Christyn Michaels,"Gbenga Richards
Ngozi Nwosu
Emeka Ossai
Kate Henshaw",,
Dead End 1,Chico Ejiro,"Zack Orji
Liz Benson
Sandra Achums
Ameze Imariahgbe",,Produced by Grand Touch/Amaco and Andy Best
Amadas,Andy Amenechi,"Enebeli Elebuwa
Saint Obi
Bimbo Akintola
Adaora Okoh
Peter Bruno
Keppy Ekpeyong Bassey",,
Suicide Mission,Fred Amata,"Richard Mofe-Damijo
Regina Askia
Ameze Imarhiagbe
Obot Etuk
Patrick Doyle
Peter Bunor Jr.",,
Oracle,Andy Amenechi,"Pete Edochie
Prince James Uche
Enebeli Elebuwa
Charles Okafor
Saint Obi",,
Scores to Settle,Chico Ejiro,"Richard Mofe Damijo
Liz Benson
Omotola Jalade Ekeinde",,
Yogo Pam Pam,Kingsley Ogoro,"Nkem Owoh
Okey Bakasi",,
Most Wanted,Tunji Bamishigbin,"Regina Askia
Ibinabo Fiberisima
Ayo Adesanya
Liz Benson
Genevieve Nnaji
Antar Laniyan",Crime action,"A remake of the Hollywood crime action film of the same name featuring Jada Pinkett Smith, Queen Latifah, Vivica A. Fox and Kimberly Elise."
Saworoide,Tunde Kelani,"Ayantunji Amoo
Kunle Bamtefa
Kayode Olaiya
Yemi Shodimu
Kola Oyewo
Lere Paimo
Bukky Wright
Khabirat Kafidipe
Kunle Afolayan",Drama,
Conspiracy,Ndubuisi Okoh,"Onyeka Onwenu
Charles Okafor
Larry Koldsweat
Nkem Owoh.",,
Amina: Unity in Diversity,"Pete Edochie
Olu Jacobs
Kashimu Yaro
Enebeli Elebuwa",,,[4]
Dapo Junior,Tony Dele Akinyemi,"Saint Obi
Mady Ooijen
Leonard Odehkiran
Liz Benson",,Produced in Netherlands by Imani and Double A Entertainment
