Name,Price
                                Bag of Potatoes                            ,"₦20,000"
                                Organic chicken sausage- 32 pieces                            ,"₦3,500"
                                Organic Chicken breast- 1kg                            ,"₦2,500"
                                Organic Broiler wings- 1kg                            ,"₦2,500"
                                Organic broiler drumstix- 1kg                            ,"₦2,500"
                                Organic Broiler                            ,"₦2,000"
                                Organic Local chicken                            ,"₦2,500"
                                Mango (Small)                            ,₦400
                                Mango (Large)                            ,₦200
                                Shambo                            ,₦300
                                Coconut (1 Piece)                            ,₦300
                                Kpomo (1 Piece)                            ,₦250
                                Smoked Titus Fish (1 Piece)                            ,₦500
                                Tsamiya (Portion)                            ,₦500
                                Lemon (3 pieces)                            ,₦200
                                Garlic- Portion                            ,₦500
                                Yellow Scotch Bonnet- Portion                            ,₦100
                                Garden egg- Portion                            ,₦200
                                Red Cabbage- small                            ,₦300
                                Fresh Ginger- Portion                            ,₦200
                                Sorrel Yakuwa Leaves- Bunch                            ,₦100
                                Lamb Ribs Whole                            ,"₦4,500"
                                Lamb Leg                            ,"₦4,500"
                                Beetroot - ! Piece                            ,₦250
                                Mint Leaves Portion                            ,₦100
                                Grapes                            ,"₦1,350"
                                Ripe Plantain                            ,"₦1,000"
                                Unripe Plantain                            ,"₦1,000"
                                Beef Diced - 1kg                            ,"₦1,950"
                                Garden-Egg Leaves Bunch                            ,₦200
                                Water-leaf Bunch                            ,₦200
                                Parsley Leaf Portion                            ,₦100
                                Smoked Catfish Portion                            ,"₦2,000"
                                Smoked Mackerel - 1 Piece                            ,₦500
                                Yam                             ,₦700
                                Local Chicken- Medium                            ,"₦1,800"
                                Brocolli- 1 head                            ,₦600
                                Cauliflower- 1 head                            ,₦600
                                Spinach-Bunch                            ,₦300
                                Celery- Bunch                            ,₦300
                                Egg Plants- Aubergines (1 Piece)                            ,₦70
                                Amstel pet-3 bottles                            ,₦375
                                apple-3-large                            ,₦600
                                apple-5-small                            ,₦600
                                Organic-avocado                            ,₦250
                                Oranges-basket                            ,₦700
                                large-size-banana                            ,"₦1,000"
                                English-pear                            ,₦200
                                Large-size-watermelon                            ,"₦1,000"
                                Medium-size-watermelon                            ,₦800
                                medium-size-banana-bunch                            ,₦700
                                pawpaw                            ,₦800
                                pineapple                            ,₦800
                                Carrot- Portion (1KG +)                            ,₦200
                                Cabbage                            ,₦250
                                Cow Leg-Portion (1KG)                            ,"₦1,950"
                                Sardine Fish- 1KG                            ,"₦1,300"
                                Croaker Fish-1KG                             ,"₦1,200"
                                Whole Chicken                            ,"₦1,950"
                                Lamb chops- 1KG                            ,"₦1,950"
                                Goat meat- 1KG                            ,"₦1,950"
                                Fresh Okro- Portion                            ,₦100
                                Ugu (pumpkin leaves)-Sliced Bunch                            ,₦200
                                Efo (Nigerian Spinach)- Bunch                            ,₦100
                                Spring onions (Bunch)                            ,₦100
                                Fresh Lime (portion)                            ,₦100
                                 Peas- Small portion                            ,₦200
                                Fresh Green Beans (Portion)                            ,₦200
                                Green Pepper                            ,₦60
                                Cucumber (Large)                            ,₦100
                                Fresh Lettuce                            ,₦100
                                Sweet Potatoes                            ,₦400
                                Fresh Potatoes                            ,₦500
                                Fresh Onions                            ,₦300
                                Fresh Red Bell pepper (Tetashe)                            ,₦500
                                Fresh Scotch bonnet                            ,₦500
                                Fresh Tomatoes                            ,₦350
